date,open,high,low,close,volume,close_1,result_1,perf_1,close_14,result_14,perf_14,bb_upper,bb_middle,bb_lower,bb_pct,bb_bandwidth,bb_squeeze,bb_signalup,bb_signaldn,bb_signal,ema50,ema150,ema200,ema_signal1,ema_signal2,kama50,kama150,kama200,kama_signal1,kama_signal2,sar,sar_signal,adx,plus_di,minus_di,adx_trend,adx_direction,adx_signal,aroon_osc,aroon_signal,cci,cci_signal,macd,macd_sigline,macd_hist,macd_signal,ppo,ppo_signal,mfi,mfi_signal,roc,roc_signal,rsi,rsi_signal,ult_osc,ult_signal,willr,wr_signal,ad_osc,ad_signal,stoch_slowk,stoch_slowd,sslow_signal,stoch_fastk,stoch_fastd,srsi_signal,trix,trix_signal,sr_pivotpts,sr_res1,sr_sup1,sr_res2,sr_sup2,sr_res3,sr_sup3,cv_signal
1/31/12,48.07,48.07,47.509998,47.709999,2100,49.07,TRUE,0.028505576,50.799999,TRUE,0.064766298,50.03240151,46.1635,42.29459849,0.699862803,16.7617339,FALSE,FALSE,FALSE,0,43.43829531,42.27525973,42.45457847,TRUE,TRUE,41.04615147,41.61136645,43.8018007,TRUE,FALSE,49.254999,FALSE,27.27630386,33.78675942,17.4175062,TRUE,TRUE,1,76,TRUE,48.38761856,0,1.788104234,1.814060999,-0.025956764,FALSE,5.3638905,TRUE,64.81279922,0,3.762503262,0,64.84333984,0,67.28203795,0,-33.82978004,0,12309.17783,TRUE,54.77453711,64.82426903,0,0,23.4594715,1,0.326327622,TRUE,47.76333233,57.88666567,46.22666567,59.42333233,36.10333233,69.54666567,34.56666567,TRUE
2/1/12,48.66,49.490002,48.650002,49.07,14200,48.889999,FALSE,-0.003668249,50.84,TRUE,0.036070919,50.22041239,46.47649995,42.73258751,0.846362273,16.11099135,FALSE,FALSE,FALSE,0,43.65914647,42.36525629,42.52040356,TRUE,TRUE,41.41171725,41.64811338,43.8318291,TRUE,FALSE,47.049999,TRUE,28.34437108,38.49296738,15.63509522,TRUE,TRUE,1,92,TRUE,135.9433265,0,1.801835332,1.811615865,-0.009780533,FALSE,5.312010645,TRUE,67.42583142,0,4.182594657,0,69.95842767,0,70.52564314,-1,-8.588990929,-1,10594.6122,TRUE,58.95607718,59.17125787,0,89.04717892,29.68239297,-1,0.33749972,TRUE,49.07000133,60.50000367,48.65000067,60.92000433,37.21999833,72.35000667,36.79999767,TRUE
2/2/12,49.220001,49.349998,48.889999,48.889999,6000,50.779999,TRUE,0.038658213,50.68,TRUE,0.036612825,50.31559674,46.76449985,43.21340296,0.799273607,15.18714794,FALSE,FALSE,FALSE,0,43.86427794,42.45167672,42.58378262,TRUE,TRUE,41.73723771,41.68632053,43.85816864,TRUE,FALSE,47.09879906,TRUE,29.33614779,37.42703863,15.20213568,TRUE,TRUE,1,92,TRUE,126.2911774,0,1.777700524,1.804832797,-0.027132273,FALSE,5.238093955,TRUE,61.57792187,0,1.811743024,0,68.53710843,0,65.53033555,0,-12.26998996,-1,7020.961521,TRUE,65.52287101,59.75116177,0,64.30381712,51.11699868,0,0.348036334,TRUE,49.043332,58.586664,48.596662,59.033334,39.05333,68.576666,38.60666,TRUE
2/3/12,50.02,50.830002,49.970001,50.779999,13600,50.450001,FALSE,-0.006498582,51.119999,TRUE,0.00669555,50.73157285,47.1369997,43.54242655,1.006736008,15.25159927,FALSE,TRUE,FALSE,0,44.13548269,42.56198563,42.66533701,TRUE,TRUE,42.34449966,41.73324844,43.89135831,TRUE,FALSE,47.14662312,TRUE,30.89337974,41.76863275,13.50376718,TRUE,TRUE,1,100,TRUE,217.5414784,-1,1.889302022,1.821726642,0.06757538,TRUE,5.129523084,TRUE,68.38293321,0,6.591100054,0,74.41485711,-1,67.95014134,0,-1.002063727,-1,8744.816159,TRUE,85.62457938,70.03450919,-1,100,84.45033201,-1,0.359058284,TRUE,50.52666733,61.55333467,50.22333267,61.85666933,39.19666533,72.88333667,38.89333067,TRUE
2/6/12,50,50.57,50,50.450001,5400,50.5,TRUE,0.00099106,51.169998,TRUE,0.014271496,50.89935161,47.49699975,44.09464789,0.933964706,14.32659696,FALSE,FALSE,FALSE,0,44.38311086,42.66646265,42.74279636,TRUE,TRUE,42.90266877,41.78794708,43.92779433,TRUE,FALSE,47.29395827,TRUE,32.33938084,39.84138276,12.88068873,TRUE,TRUE,1,96,TRUE,157.4314707,0,1.928883959,1.843158105,0.085725853,TRUE,4.708142501,TRUE,63.21914283,0,6.344861011,0,71.8895605,-1,72.09388888,-1,-7.615247449,-1,9649.789004,TRUE,87.54703808,79.56482949,-1,73.61654865,79.30678859,0,0.36998657,TRUE,50.34000033,60.11000067,49.84999867,60.60000233,40.07999833,70.37000267,39.58999667,TRUE
2/7/12,49.77,50.5,49.610001,50.5,3800,50.470001,FALSE,-0.00059404,51.380001,TRUE,0.017425762,51.04122556,47.8279997,44.61477384,0.915781588,13.43658895,FALSE,FALSE,FALSE,0,44.62298886,42.77021811,42.81998246,TRUE,TRUE,43.58129413,41.84043806,43.96545492,TRUE,FALSE,47.43540002,TRUE,33.19625431,37.70365964,14.54077234,TRUE,TRUE,1,92,TRUE,119.4619154,0,1.941902388,1.862906962,0.078995426,TRUE,4.452751662,TRUE,59.37285947,0,6.697650256,0,72.04435551,-1,72.51698344,-1,-7.466105219,-1,10351.84253,TRUE,90.69788816,87.95650188,-1,59.6699055,77.76215138,0,0.380601672,TRUE,50.20333367,59.83666733,49.57666533,60.46333567,39.94333167,70.09666933,39.31666333,TRUE
2/8/12,50.5,50.599998,50.049999,50.470001,7100,50.790001,TRUE,0.0063404,51.220001,TRUE,0.014860313,51.24710843,48.09749965,44.94789087,0.876634293,13.09676719,FALSE,FALSE,FALSE,0,44.85228346,42.87220199,42.89610205,TRUE,TRUE,44.21868931,41.89472727,44.00178023,TRUE,TRUE,47.5711841,TRUE,34.04072584,37.03058283,14.03944203,TRUE,TRUE,1,80,TRUE,106.2743274,0,1.927578988,1.875841367,0.051737621,TRUE,4.216696242,TRUE,58.40672084,0,4.040410391,0,71.78892258,-1,73.22365285,-1,-8.144815319,-1,10889.14938,TRUE,84.95325674,87.73272766,-1,55.32414413,62.87019943,0,0.390673928,TRUE,50.37333267,60.17666533,49.91666333,60.63333467,40.11333067,70.43666733,39.65666133,TRUE
2/9/12,50.799999,50.959999,50.169998,50.790001,5200,49.549999,FALSE,-0.024414294,50.52,FALSE,-0.005316027,51.48032646,48.3629997,45.24567294,0.88927605,12.89137061,FALSE,FALSE,FALSE,0,45.08513513,42.9770735,42.97464831,TRUE,TRUE,44.75201667,41.9551218,44.04375305,TRUE,TRUE,47.70153682,TRUE,35.00327687,37.46293148,13.32860256,TRUE,TRUE,1,96,TRUE,103.5919074,0,1.919917305,1.884656555,0.03526075,TRUE,4.15011989,TRUE,63.31513167,0,5.155283751,0,72.8929676,-1,75.52289154,-1,-3.736220601,-1,11061.50594,TRUE,84.57103553,86.74072681,-1,42.04389009,52.3459799,0,0.400250769,TRUE,50.63999933,60.70999867,50.31999967,61.02999833,40.25000033,71.09999767,39.93000067,TRUE
2/10/12,49.470001,49.720001,49.25,49.549999,7300,50.75,TRUE,0.024217982,50.810001,TRUE,0.025428901,51.53063223,48.5264997,45.52236717,0.67034856,12.38141035,FALSE,FALSE,FALSE,0,45.26022783,43.06413212,43.04007468,TRUE,TRUE,45.06521924,42.00656556,44.0821853,TRUE,TRUE,47.89704455,TRUE,34.72615485,33.86351752,17.78778803,TRUE,TRUE,1,96,TRUE,28.63307221,0,1.793117623,1.866348768,-0.073231145,FALSE,3.791985079,TRUE,64.41154168,0,2.29149468,0,62.65973679,0,67.40595952,0,-30.9890178,0,10768.86428,TRUE,62.13154148,77.21861125,0,0,32.4560114,1,0.408356909,TRUE,49.50666667,58.15333233,48.05333433,59.60666467,39.40666867,68.25333033,37.95333633,TRUE
2/13/12,50.619999,50.82,49.84,50.75,10800,50.529999,FALSE,-0.004334995,50.200001,FALSE,-0.010837419,51.60805037,48.78699965,45.96594893,0.847920074,11.56476414,FALSE,FALSE,FALSE,0,45.47551301,43.16593169,43.11679036,TRUE,TRUE,45.35830477,42.05072864,44.12583105,TRUE,TRUE,48.08082182,TRUE,35.08466663,38.01079352,16.38930168,TRUE,TRUE,1,88,TRUE,78.57373029,0,1.76906533,1.846892081,-0.077826751,FALSE,3.599812606,TRUE,71.21011175,0,5.685131195,0,67.42565645,0,72.75673819,-1,-4.95280894,-1,12615.61412,TRUE,64.22356596,70.30871432,0,46.57297134,29.53895381,0,0.415810459,TRUE,50.47,59.550001,49.980001,60.04,40.9,69.120001,40.410001,TRUE
