,date,text
79,20100602,"Telefónica Bid Is Rebuffed Portugal Telecom said the offer failed to adequately value its unit, Vivo Participações, which is Brazil’s biggest wireless operator."
80,20100603,"French Trial Begins for Former Vivendi Chief Jean-Marie Messier is accused of giving out misleading information, manipulating stock prices and misappropriating company funds from 2000 to 2002, when the group made a spate of acquisitions."
81,20100603,Le Monde Seeks a Financial Savior The French newspaper has put out an international tender for new investment that could result in handing over control to an outsider within weeks.
82,20100603,"Heaviest Users of Phone Data Will Pay More AT&T will offer unlimited data plans to new smartphone customers, who will pay based on what they use."
83,20100607,"Reliance of India Approves Plan to Sell a 26% Stake One company interested in the stake is the U.S. telecommunications giant AT&T, which is in preliminary talks with Reliance."
84,20100607,Australia Opens a Privacy Case Against Google The Australian authorities announced an investigation Sunday into whether Google had illegally collected private information from wireless networks while adding to its Street View mapping service.
85,20100611,"In Louisville, View of Banks’ Role in the Everyday Main Street in Louisville is a visible reminder that high finance has a major presence in many communities, directly or through local relationships."
86,20100614,"TV, the ‘Old Medium,’ Holds Its Own in an Ad Spending Recovery After a steep, two-year plunge in ad sales, some of the leading commercial broadcasters in Europe have reported big gains for the first quarter."
87,20100615,"SingTel Tries to Stay Ahead in Tough Asian Markets For now, the company is focusing on its core businesses in Singapore, where it is the market leader, and in Australia. But SingTel has greater ambitions."
88,20100615,"Cloud Computing a Threat, and Opportunity, for Taiwan’s PC Makers The country’s high-technology manufacturers may have to find a new business model if the promise of cloud computing is realized."
89,20100615,Singapore Gets Wired for Speed Singapore could soon be the first country blanketed with a fiber optic infrastructure so fast that it would enable the contents of a DVD to be downloaded in only a few seconds.
90,20100615,Sarkozy Criticized in Selling of Paper A group of shareholders in the struggling newspaper said that the French president opposed a bid from three businessmen.
91,20100616,A Rail Minister Distracted by Parochial Issues Mamata Banerjee has come under fire for advancing expensive populist policies and heaping largess on her home state.
92,20100616,A Face-Off Over Sale of Spectrum by F.C.C. A House panel considering legislation to pay for a public safety network has a hearing set for Thursday.
93,20100617,Trade Tensions With China Shadow G-20 Meeting President Obama is under pressure from software industry leaders and Congress to take a tough stance against China’s policies.
94,20100618,"Fujitsu and Toshiba to Merge Cellphone Units The agreement is the latest move in the fragmented industry to consolidate and better compete in Japan against Apple, Nokia and Samsung."
95,20100618,F.C.C. Moves to Expand Role in Broadband The commission is looking to give itself the authority to regulate the transmission component of broadband Internet service.
96,20100618,"Fujitsu and Toshiba to Merge Mobile Phone Units Fujitsu will own a majority stake in the new venture, scheduled to begin operation in October."
97,20100621,Phone Style Says Something About You Respondents to telephone surveys who have only landlines tend to be more politically and socially conservative than respondents from mixed or cellphone-only homes.
98,20100628,Broadband Availability to Expand A presidential memorandum aims to make available for auction some 500 megahertz of spectrum.
99,20100628,"Iberian Telecommunications Companies Tussle Over Dynamic Brazil Telefónica of Spain and Portugal Telecom are battling for control of their Brazilian wireless joint venture, and the result could determine which company realizes its global ambitions."
100,20100630,"E.U. Criticizes Mobile Phone Roaming Charges The European Commission found that mobile phone operators in Europe are still charging close to the maximum allowed, three years after price caps were first imposed."
101,20100701,Second Quarter Ends With Dow Down 10% and S.&P. 500 Off 12% Investors tread cautiously a day after a broad selloff and two days before the government’s monthly jobless report is released.
102,20100701,"Portuguese Government Blocks Sale of Brazilian Operator Reviving a debate about protectionism in Europe, the Portuguese government blocked a 7.15-billion-euro bid by Telefónica of Spain to take full control of a joint venture with Portugal Telecom."
103,20100706,Abertis Stock Leaps on Possible CVC Stake Trading in Abertis shares was suspended on Monday after rising sharply on a report that the private equity firm CVC was in talks to take a stake in the Spanish infrastructure company.
104,20100707,"Nokia to Exit Wireless Modem Business Nokia is selling the business to Renesas Electronics of Japan for $200 million, as stiff competition from Chinese companies has driven down prices for the products."
105,20100707,An Underdog Amid the Giants Lining the World Cup’s Fields A sponsorship costing upward of $20 million puts the little-known Yingli Solar next to big names like Budweiser and McDonald’s.
106,20100707,"Nokia to Sell Its Business in Modems Renesas Electronics of Japan will buy the wireless modem business, which has been hurt by Chinese competition, for $200 million."
107,20100709,"Stocks Regain Momentum Late in the Day Wall Street was headed for a three-day win streak, building on retail sales numbers and a better-than-expected report on jobless filings."
108,20100709,Top European Court Rules Against Portugal in Dispute Involving Telef&#243;nica Telef&#243;nica of Spain is trying to buy full control of a Brazilian wireless venture it holds with Portugal Telecom.
109,20100709,French News Web Site Shakes Sarkozy Camp A news Web site called Mediapart has been ahead of the French print media in reporting a political scandal.
110,20100709,Smartphone Patent Suits Challenge Big Makers NTP charges that the cellphone e-mail systems of the companies are illegally using its patented technology.
111,20100712,"Cowen Group Hires a Top Banker in Media Deals At Merrill Lynch, Michael Costa was involved in some of the biggest media deals over the last two decades."
112,20100716,Goldman Pays $550 Million to Settle Fraud Case The bank agreed to pay $550 million to settle claims that it misled investors with a subprime mortgage product.
113,20100719,"Policing the Web&#8217;s Lurid Precincts Internet companies must screen content submitted by users, and the firms that sell the screening services are weighing the emotional toll on their workers."
114,20100720,Nokia Siemens Agrees to Pay Cash for Division of Motorola The acquisition of Motorola’s telecommunications network equipment business gives Nokia Siemens a stronghold in the cutthroat mobile gear market.
115,20100720,Craft Is Lighter Than Air — and Doesn’t Pollute It A French team is testing a solar-powered dirigible in preparation for a cross-Channel flight.
116,20100720,"Business News Outlet Rises to Focus on China, in English Cai Business Indepth aims to become a major provider of reliable financial news and analysis, in English, about China."
117,20100723,AT&T Raises Its Forecast After Profit Rises 26% The iPhone fueled a quarterly gain at the wireless unit as the company posted a decline in wired customers.
118,20100727,‘Blame Germany’ Is Not a Sound Economic Policy It’s time to stop demanding the impossible of Germany and consider what steps Berlin could take to improve demand and help rebalance the world’s economy.
119,20100727,"In India, British Leader to Focus on Business Ties Prime Minister David Cameron hopes to position British companies to receive some of the tens of billions India is expected to spend on projects like roads and power grids."
120,20100729,Telefónica Wins Full Control of Brazil Phone Venture The $9.75 billion deal should end a dispute between Telefónica and Portugal Telecom over their joint cellphone operation in Brazil.
121,20100729,"Strong TV Glass Sales Bolster Corning Strong sales of its glass for flat-panel televisions, computers and mobile devices helped profit rise 49 percent in the second quarter."
122,20100802,Emirates to Cut Data Services of BlackBerry The United Arab Emirates said that it cannot adequately monitor the company’s e-mail and text messaging services.
123,20100803,"For Data, Tug Grows Over Privacy vs. Security Communications companies and governments are struggling to balance privacy with national security."
124,20100805,"A Promising Jobs Report Sends Shares Higher Shares were driven by reports that private employers added 42,000 jobs in July and that growth in the services sector was better than expected."
125,20100805,Google and Verizon Near Deal on Web Pay Tiers An agreement could lay the foundation for a system in which companies would pay to move their content faster.
