,date,sentiment
1302,20110413,0.5
1301,20110414,0.75
1300,20110415,0.55
1306,20110418,0.5
1305,20110419,0.5
1407,20110420,0.3
1408,20110421,0.5
1412,20110425,0.5
1409,20110426,0.5
1410,20110427,0.5
1402,20110428,0.5
927,20110429,0.5
481,20110502,0.3
480,20110503,0.5
1049,20110504,0.4
468,20110505,0.5
477,20110506,0.5
1091,20110509,0.4
977,20110510,0.5
978,20110511,0.4
975,20110512,0.4
976,20110513,0.2
979,20110516,0.766666666667
980,20110517,0.5
973,20110518,0.5
974,20110519,0.5
875,20110520,0.5
872,20110523,0.7
871,20110524,0.5
870,20110525,0.7
1309,20110526,0.5
868,20110527,0.4
776,20110531,0.5
949,20110601,0.5
723,20110602,0.5
948,20110603,0.5
945,20110606,0.6
946,20110607,0.5
956,20110608,0.5
957,20110609,0.45
1071,20110610,0.4
1072,20110613,0.5
1074,20110614,0.5
1073,20110615,0.9
1076,20110616,0.5
1075,20110617,0.5
745,20110620,0.5
746,20110621,0.5
747,20110622,0.5
748,20110623,0.4
749,20110624,0.6
750,20110627,0.7
751,20110628,0.5
752,20110629,0.5
851,20110630,0.5
844,20110701,0.5
843,20110705,0.3
842,20110706,0.4
841,20110707,0.5
840,20110708,0.5
740,20110711,1.1
741,20110712,0.5
742,20110713,0.6
738,20110714,0.5
739,20110715,0.5
736,20110718,0.35
737,20110719,0.5
1057,20110720,0.5
1056,20110721,0.7
1058,20110722,0.2
1053,20110725,0.5
301,20110726,0.5
1054,20110727,0.5
1060,20110728,0.6
1059,20110729,0.7
382,20110801,0.5
383,20110802,0.5
384,20110803,0.5
385,20110804,0.7
386,20110805,0.5
380,20110808,0.8
381,20110809,0.5
505,20110810,0.5
504,20110811,0.5
503,20110812,0.5
508,20110815,0.433333333333
507,20110816,-0.1
506,20110817,0.9
502,20110818,0.45
501,20110819,0.4
608,20110822,0.4
609,20110823,0.5
606,20110824,0.5
607,20110825,0.5
605,20110826,0.5
604,20110829,0.5
693,20110830,0.5
692,20110831,0.6
262,20110901,0.4
263,20110902,-0.2
265,20110906,0.6
264,20110907,0.5
267,20110908,0.3
266,20110909,0.5
148,20110912,0.5
149,20110913,0.5
146,20110914,0.5
147,20110915,0.5
144,20110916,0.5
143,20110919,0.5
31,20110920,0.5
30,20110921,0.5
29,20110922,0.5
28,20110923,0.5
33,20110926,0.5
32,20110927,0.5
27,20110928,0.5
26,20110929,0.5
1050,20110930,0.6
779,20111003,0.4
785,20111004,0.5
784,20111005,0.5
783,20111006,0.25
782,20111007,0.6
656,20111010,0.4
657,20111011,0.5
658,20111012,0.5
659,20111013,0.5
660,20111014,0.7
661,20111017,0.5
654,20111018,0.6
655,20111019,0.5
982,20111020,0.5
981,20111021,0.233333333333
1348,20111024,0.333333333333
1347,20111025,0.5
1351,20111026,0.5
1349,20111027,0.5
989,20111028,0.3
882,20111031,0.5
1264,20111101,0.5
1262,20111102,0.5
1263,20111103,0.5
1266,20111104,0.5
1265,20111107,0.5
1267,20111108,0.5
1268,20111109,0.7
1374,20111110,0.5
1373,20111111,0.1
1370,20111114,0.466666666667
1369,20111115,0.5
1372,20111116,0.5
1371,20111117,0.5
1376,20111118,0.5
1068,20111121,0.15
1069,20111122,0.5
1070,20111123,0.5
1067,20111125,0.4
1063,20111128,0.5
1064,20111129,0.5
937,20111130,0.3
1379,20111201,0.5
1380,20111202,0.5
1381,20111205,0.7
1383,20111206,0.5
1382,20111207,0.5
1378,20111208,0.6
1377,20111209,0.5
1290,20111212,0.5
1291,20111213,0.5
1288,20111214,0.5
1289,20111215,0.5
1287,20111216,0.5
1292,20111219,0.5
1195,20111220,0.5
1194,20111221,0.2
