,date,sentiment
1277,20130306,0.8
1276,20130307,0.5
1272,20130308,0.5
1042,20130311,0.5
1188,20130312,0.5
1189,20130313,0.533333333333
1186,20130314,0.5
1187,20130315,0.5
1193,20130318,0.5
1194,20130319,0.5
1082,20130320,0.5
1081,20130321,0.3
1080,20130322,0.5
1085,20130325,0.35
1084,20130326,0.5
1083,20130327,0.5
1086,20130328,0.6
397,20130401,0.2
395,20130402,0.5
396,20130403,1.1
393,20130404,0.4
713,20130405,0.5
403,20130408,0.6
724,20130409,0.5
514,20130410,0.5
513,20130411,0.5
515,20130412,0.5
516,20130415,0.6
518,20130416,0.5
517,20130417,0.5
512,20130418,0.5
511,20130419,0.5
168,20130422,0.5
169,20130423,0.5
170,20130424,0.5
171,20130425,0.6
172,20130426,0.5
173,20130429,0.5
285,20130430,0.5
282,20130501,0.5
281,20130502,0.5
280,20130503,0.5
279,20130506,0.5
278,20130507,0.2
277,20130508,0.5
276,20130509,0.5
159,20130510,0.5
160,20130513,0.5
155,20130514,0.5
156,20130515,0.5
157,20130516,0.5
158,20130517,0.5
498,20130520,0.6
497,20130521,0.4
500,20130522,0.4
499,20130523,0.5
496,20130524,0.5
502,20130528,0.5
501,20130529,0.5
380,20130530,0.5
381,20130531,0.5
619,20130603,0.5
615,20130604,0.5
616,20130605,0.9
617,20130606,0.2
618,20130607,0.5
720,20130610,0.5
719,20130611,0.5
718,20130612,0.5
717,20130613,0.5
716,20130614,0.5
715,20130617,0.5
722,20130618,0.333333333333
721,20130619,0.8
829,20130620,0.5
830,20130621,0.5
833,20130624,0.5
834,20130625,0.5
831,20130626,0.5
832,20130627,0.7
828,20130628,0.4
528,20130701,0.5
530,20130702,0.5
529,20130703,0.6
526,20130705,0.5
525,20130708,0.5
524,20130709,0.5
414,20130710,0.5
415,20130711,0.5
413,20130712,0.5
418,20130715,0.8
416,20130716,0.35
417,20130717,0.5
411,20130718,0.5
412,20130719,0.6
299,20130722,0.8
298,20130723,0.5
297,20130724,0.3
296,20130725,0.5
295,20130726,0.65
300,20130729,0.7
187,20130730,0.5
188,20130731,0.5
1017,20130801,0.7
1403,20130802,0.5
1020,20130805,0.5
1018,20130806,0.6
1058,20130807,0.55
1008,20130808,0.7
1009,20130809,0.5
1132,20130812,0.6
1131,20130813,0.5
547,20130814,0.5
544,20130815,0.45
1128,20130816,0.5
1122,20130819,0.6
760,20130820,0.5
761,20130821,0.5
762,20130822,0.5
763,20130823,0.5
758,20130826,0.5
759,20130827,1.0
6,20130828,0.5
9,20130829,0.5
857,20130830,0.2
293,20130903,0.5
738,20130904,0.45
710,20130905,0.5
876,20130906,0.5
881,20130909,0.5
774,20130910,0.3
775,20130911,0.5
776,20130912,0.9
777,20130913,0.5
780,20130916,0.5
781,20130917,0.5
